src_node	dst_node	tolerance	dstIps	sat/unsat	Conflicts	Decisions	TotalTime	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints	MincutTime	PruneTime	CompressionTime	ToleranceOrigin	TolerancePrune	ToleranceCompression
celje	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	662	1595	379.0	171.0	171.0	171.0	0.17	0.17	0.17	188.0	GigabitEthernet0/0	2392.0	4264.0	0.0	122591.0	220175.0	47.0	27.0	15.0
celje	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1160	2289	474.0	267.0	267.0	267.0	0.266	0.266	0.266	188.0	GigabitEthernet0/0	2392.0	4264.0	0.0	109886.0	319851.0	47.0	27.0	15.0
celje	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1337	2102	540.0	336.0	336.0	336.0	0.336	0.336	0.336	183.0	GigabitEthernet0/0	2392.0	4264.0	1.0	102117.0	269486.0	47.0	27.0	15.0
divaca	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1260	3334	561.0	365.0	365.0	365.0	0.364	0.364	0.364	178.0	GigabitEthernet0/0	2392.0	4272.0	0.0	99356.0	328574.0	47.0	43.0	23.0
divaca	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2396	4535	914.0	708.0	708.0	708.0	0.708	0.708	0.708	186.0	GigabitEthernet0/0	2392.0	4272.0	1.0	83887.0	175233.0	47.0	43.0	23.0
divaca	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	3416	6296	1149.0	932.0	932.0	932.0	0.931	0.931	0.931	197.0	GigabitEthernet0/0	2392.0	4272.0	1.0	96926.0	213874.0	47.0	43.0	23.0
lasko	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	660	1449	377.0	180.0	180.0	180.0	0.179	0.179	0.179	180.0	GigabitEthernet0/0	2392.0	4263.0	0.0	81638.0	129000.0	47.0	27.0	14.0
lasko	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1049	2265	467.0	266.0	266.0	266.0	0.265	0.265	0.265	182.0	GigabitEthernet0/0	2392.0	4263.0	0.0	77154.0	136891.0	47.0	27.0	14.0
lasko	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1655	3690	615.0	415.0	415.0	415.0	0.415	0.415	0.415	181.0	GigabitEthernet0/0	2392.0	4263.0	0.0	70833.0	111351.0	47.0	27.0	14.0
lasko	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1269	3080	566.0	371.0	371.0	371.0	0.371	0.371	0.371	179.0	GigabitEthernet0/0	2392.0	4272.0	0.0	101100.0	168431.0	47.0	43.0	23.0
lasko	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2198	4631	869.0	674.0	674.0	674.0	0.673	0.673	0.673	176.0	GigabitEthernet0/0	2392.0	4272.0	1.0	96245.0	188945.0	47.0	43.0	23.0
lasko	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	4284	7377	1423.0	1227.0	1227.0	1227.0	1.227	1.227	1.227	179.0	GigabitEthernet0/0	2392.0	4272.0	0.0	95718.0	159113.0	47.0	43.0	23.0
koper	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	426	681	298.0	97.0	97.0	97.0	0.096	0.096	0.096	183.0	GigabitEthernet0/0	2392.0	4258.0	1.0	58367.0	96981.0	47.0	16.0	9.0
koper	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	554	855	337.0	134.0	134.0	134.0	0.134	0.134	0.134	184.0	GigabitEthernet0/0	2392.0	4258.0	1.0	77543.0	83665.0	47.0	16.0	9.0
koper	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	427	844	316.0	106.0	106.0	106.0	0.106	0.106	0.106	189.0	GigabitEthernet0/0	2392.0	4258.0	1.0	67920.0	98224.0	47.0	16.0	9.0
maribor	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	1212	2997	570.0	382.0	382.0	382.0	0.381	0.381	0.381	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	89373.0	190202.0	47.0	43.0	23.0
maribor	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	2401	4878	860.0	671.0	671.0	671.0	0.671	0.671	0.671	171.0	GigabitEthernet0/0	2392.0	4272.0	1.0	91950.0	151727.0	47.0	43.0	23.0
maribor	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	3808	6629	1306.0	1112.0	1112.0	1112.0	1.112	1.112	1.112	176.0	GigabitEthernet0/0	2392.0	4272.0	0.0	95831.0	158832.0	47.0	43.0	23.0
divaca	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	492	913	313.0	121.0	121.0	121.0	0.119	0.119	0.119	177.0	GigabitEthernet0/0	2392.0	4259.0	0.0	50955.0	83957.0	47.0	16.0	10.0
divaca	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	496	940	308.0	120.0	120.0	120.0	0.119	0.119	0.119	171.0	GigabitEthernet0/0	2392.0	4259.0	1.0	52754.0	102172.0	47.0	16.0	10.0
divaca	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	420	1047	295.0	107.0	107.0	107.0	0.107	0.107	0.107	171.0	GigabitEthernet0/0	2392.0	4259.0	0.0	52855.0	88634.0	47.0	16.0	10.0
celje	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	716	1693	367.0	178.0	178.0	178.0	0.177	0.177	0.177	171.0	GigabitEthernet0/0	2392.0	4263.0	0.0	64925.0	139257.0	47.0	27.0	14.0
celje	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1064	2392	483.0	292.0	292.0	292.0	0.291	0.291	0.291	176.0	GigabitEthernet0/0	2392.0	4263.0	0.0	68965.0	111881.0	47.0	27.0	14.0
celje	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1109	2552	530.0	329.0	329.0	329.0	0.329	0.329	0.329	183.0	GigabitEthernet0/0	2392.0	4263.0	0.0	65529.0	111219.0	47.0	27.0	14.0
maribor	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	784	1711	401.0	203.0	203.0	203.0	0.203	0.203	0.203	181.0	GigabitEthernet0/0	2392.0	4264.0	0.0	81625.0	113657.0	47.0	27.0	15.0
maribor	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1005	1755	455.0	268.0	268.0	268.0	0.267	0.267	0.267	172.0	GigabitEthernet0/0	2392.0	4264.0	0.0	67193.0	114843.0	47.0	27.0	15.0
maribor	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1425	2869	548.0	359.0	359.0	359.0	0.359	0.359	0.359	171.0	GigabitEthernet0/0	2392.0	4264.0	1.0	61432.0	108845.0	47.0	27.0	15.0
maribor	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1446	3252	603.0	415.0	415.0	415.0	0.414	0.414	0.414	173.0	GigabitEthernet0/0	2392.0	4272.0	0.0	83716.0	152001.0	47.0	43.0	23.0
maribor	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1890	3977	748.0	559.0	559.0	559.0	0.559	0.559	0.559	173.0	GigabitEthernet0/0	2392.0	4272.0	1.0	76452.0	146659.0	47.0	43.0	23.0
maribor	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	3227	5821	1112.0	923.0	923.0	923.0	0.922	0.922	0.922	173.0	GigabitEthernet0/0	2392.0	4272.0	0.0	79413.0	155900.0	47.0	43.0	23.0
divaca	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1212	2931	540.0	353.0	353.0	353.0	0.353	0.353	0.353	171.0	GigabitEthernet0/0	2392.0	4272.0	0.0	75495.0	147665.0	47.0	43.0	23.0
divaca	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	2329	4745	837.0	645.0	645.0	645.0	0.644	0.644	0.644	175.0	GigabitEthernet0/0	2392.0	4272.0	0.0	81264.0	162227.0	47.0	43.0	23.0
divaca	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3477	5847	1248.0	1062.0	1062.0	1062.0	1.062	1.062	1.062	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	73104.0	149568.0	47.0	43.0	23.0
maribor	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	620	1262	362.0	175.0	175.0	175.0	0.174	0.174	0.174	171.0	GigabitEthernet0/0	2392.0	4263.0	0.0	55182.0	99686.0	47.0	27.0	14.0
maribor	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1269	2559	524.0	339.0	339.0	339.0	0.339	0.339	0.339	170.0	GigabitEthernet0/0	2392.0	4263.0	0.0	55159.0	120993.0	47.0	27.0	14.0
maribor	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1379	2678	542.0	353.0	353.0	353.0	0.352	0.352	0.352	173.0	GigabitEthernet0/0	2392.0	4263.0	0.0	57228.0	105079.0	47.0	27.0	14.0
ljubljana	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	413	818	290.0	100.0	100.0	100.0	0.1	0.1	0.1	174.0	GigabitEthernet0/0	2392.0	4259.0	0.0	70405.0	71759.0	47.0	16.0	10.0
ljubljana	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	528	973	314.0	126.0	126.0	126.0	0.125	0.125	0.125	172.0	GigabitEthernet0/0	2392.0	4259.0	0.0	52724.0	88822.0	47.0	16.0	10.0
ljubljana	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	354	865	297.0	98.0	98.0	98.0	0.097	0.097	0.097	183.0	GigabitEthernet0/0	2392.0	4259.0	0.0	58731.0	70921.0	47.0	16.0	10.0
celje	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	1339	3172	574.0	389.0	389.0	389.0	0.389	0.389	0.389	169.0	GigabitEthernet0/0	2392.0	4272.0	0.0	83245.0	138661.0	47.0	43.0	23.0
celje	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	2202	4481	769.0	582.0	582.0	582.0	0.582	0.582	0.582	171.0	GigabitEthernet0/0	2392.0	4272.0	0.0	73486.0	135065.0	47.0	43.0	23.0
celje	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	3374	6049	1136.0	948.0	948.0	948.0	0.947	0.947	0.947	171.0	GigabitEthernet0/0	2392.0	4272.0	0.0	81598.0	153742.0	47.0	43.0	23.0
divaca	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1356	3065	595.0	388.0	388.0	388.0	0.387	0.387	0.387	193.0	GigabitEthernet0/0	2392.0	4272.0	0.0	95825.0	149317.0	47.0	43.0	23.0
divaca	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2299	5221	923.0	734.0	734.0	734.0	0.734	0.734	0.734	173.0	GigabitEthernet0/0	2392.0	4272.0	0.0	79229.0	150972.0	47.0	43.0	23.0
divaca	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	3948	6765	1323.0	1137.0	1137.0	1137.0	1.137	1.137	1.137	171.0	GigabitEthernet0/0	2392.0	4272.0	0.0	81289.0	149476.0	47.0	43.0	23.0
maribor	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	761	1590	406.0	215.0	215.0	215.0	0.215	0.215	0.215	176.0	GigabitEthernet0/0	2392.0	4263.0	0.0	60528.0	117515.0	47.0	27.0	14.0
maribor	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1029	2135	452.0	252.0	252.0	252.0	0.252	0.252	0.252	182.0	GigabitEthernet0/0	2392.0	4263.0	0.0	62458.0	113731.0	47.0	27.0	14.0
maribor	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1568	2932	573.0	380.0	380.0	380.0	0.379	0.379	0.379	178.0	GigabitEthernet0/0	2392.0	4263.0	0.0	61499.0	105200.0	47.0	27.0	14.0
lasko	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	775	2098	397.0	202.0	202.0	202.0	0.201	0.201	0.201	180.0	GigabitEthernet0/0	2392.0	4264.0	0.0	65966.0	108590.0	47.0	27.0	15.0
lasko	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1189	2759	504.0	306.0	306.0	306.0	0.306	0.306	0.306	182.0	GigabitEthernet0/0	2392.0	4264.0	0.0	63009.0	110271.0	47.0	27.0	15.0
lasko	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1378	3131	537.0	341.0	341.0	341.0	0.34	0.34	0.34	179.0	GigabitEthernet0/0	2392.0	4264.0	0.0	63135.0	111866.0	47.0	27.0	15.0
ljubljana	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	676	1368	369.0	179.0	179.0	179.0	0.178	0.178	0.178	174.0	GigabitEthernet0/0	2392.0	4263.0	0.0	62778.0	111555.0	47.0	27.0	14.0
ljubljana	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1149	2308	464.0	276.0	276.0	276.0	0.276	0.276	0.276	173.0	GigabitEthernet0/0	2392.0	4263.0	0.0	63133.0	117765.0	47.0	27.0	14.0
ljubljana	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1430	3890	556.0	369.0	369.0	369.0	0.369	0.369	0.369	172.0	GigabitEthernet0/0	2392.0	4263.0	0.0	58222.0	120280.0	47.0	27.0	14.0
celje	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	829	1611	403.0	210.0	210.0	210.0	0.209	0.209	0.209	177.0	GigabitEthernet0/0	2392.0	4264.0	0.0	64857.0	102107.0	47.0	27.0	15.0
celje	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1096	2108	455.0	264.0	264.0	264.0	0.263	0.263	0.263	176.0	GigabitEthernet0/0	2392.0	4264.0	0.0	61650.0	100373.0	47.0	27.0	15.0
celje	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	1543	2742	565.0	374.0	374.0	374.0	0.374	0.374	0.374	177.0	GigabitEthernet0/0	2392.0	4264.0	0.0	62738.0	101559.0	47.0	27.0	15.0
koper	celje	1	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	1228	2930	542.0	358.0	358.0	358.0	0.357	0.357	0.357	169.0	GigabitEthernet0/0	2392.0	4272.0	1.0	80824.0	136353.0	47.0	43.0	23.0
koper	celje	2	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	2258	4966	840.0	653.0	653.0	653.0	0.653	0.653	0.653	171.0	GigabitEthernet0/0	2392.0	4272.0	0.0	77190.0	137169.0	47.0	43.0	23.0
koper	celje	3	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	3308	6543	1147.0	950.0	950.0	950.0	0.95	0.95	0.95	179.0	GigabitEthernet0/0	2392.0	4272.0	0.0	89001.0	165474.0	47.0	43.0	23.0
divaca	ljubljana	1	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	447	875	300.0	106.0	106.0	106.0	0.105	0.105	0.105	180.0	GigabitEthernet0/0	2392.0	4259.0	0.0	60661.0	80205.0	47.0	16.0	10.0
divaca	ljubljana	2	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	705	1209	337.0	146.0	146.0	146.0	0.145	0.145	0.145	176.0	GigabitEthernet0/0	2392.0	4259.0	0.0	63844.0	76594.0	47.0	16.0	10.0
divaca	ljubljana	3	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	486	1292	307.0	110.0	110.0	110.0	0.11	0.11	0.11	181.0	GigabitEthernet0/0	2392.0	4259.0	0.0	54859.0	81184.0	47.0	16.0	10.0
ljubljana	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	391	652	292.0	107.0	107.0	107.0	0.106	0.106	0.106	170.0	GigabitEthernet0/0	2392.0	4258.0	0.0	58057.0	79516.0	47.0	16.0	9.0
ljubljana	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	531	1057	309.0	124.0	124.0	124.0	0.123	0.123	0.123	169.0	GigabitEthernet0/0	2392.0	4258.0	0.0	55731.0	75071.0	47.0	16.0	9.0
ljubljana	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	559	1296	310.0	124.0	124.0	124.0	0.123	0.123	0.123	170.0	GigabitEthernet0/0	2392.0	4258.0	0.0	55632.0	77534.0	47.0	16.0	9.0
koper	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1324	2793	544.0	357.0	357.0	357.0	0.356	0.356	0.356	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	72984.0	147741.0	47.0	43.0	23.0
koper	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2384	4719	898.0	712.0	712.0	712.0	0.712	0.712	0.712	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	75506.0	145154.0	47.0	43.0	23.0
koper	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	3222	6337	1131.0	946.0	946.0	946.0	0.946	0.946	0.946	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	79026.0	148307.0	47.0	43.0	23.0
koper	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1393	3410	624.0	408.0	408.0	408.0	0.408	0.408	0.408	190.0	GigabitEthernet0/0	2392.0	4272.0	0.0	108493.0	228263.0	47.0	43.0	23.0
koper	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2348	4664	910.0	697.0	697.0	697.0	0.696	0.696	0.696	192.0	GigabitEthernet0/0	2392.0	4272.0	1.0	108759.0	243939.0	47.0	43.0	23.0
koper	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	2833	5435	1032.0	825.0	825.0	825.0	0.825	0.825	0.825	188.0	GigabitEthernet0/0	2392.0	4272.0	0.0	99795.0	200647.0	47.0	43.0	23.0
ljubljana	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	738	1629	395.0	180.0	180.0	180.0	0.18	0.18	0.18	192.0	GigabitEthernet0/0	2392.0	4264.0	0.0	73264.0	142766.0	47.0	27.0	15.0
ljubljana	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1113	2350	488.0	284.0	284.0	284.0	0.283	0.283	0.283	184.0	GigabitEthernet0/0	2392.0	4264.0	0.0	70323.0	148264.0	47.0	27.0	15.0
ljubljana	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1373	2669	563.0	356.0	356.0	356.0	0.355	0.355	0.355	186.0	GigabitEthernet0/0	2392.0	4264.0	0.0	58643.0	111892.0	47.0	27.0	15.0
maribor	novattgorica	1	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	1181	2953	557.0	361.0	361.0	361.0	0.36	0.36	0.36	178.0	GigabitEthernet0/0	2392.0	4272.0	0.0	96453.0	189346.0	47.0	43.0	23.0
maribor	novattgorica	2	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	2417	4799	864.0	672.0	672.0	672.0	0.672	0.672	0.672	174.0	GigabitEthernet0/0	2392.0	4272.0	0.0	79790.0	149825.0	47.0	43.0	23.0
maribor	novattgorica	3	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
novattgorica	ptuj	1	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	1305	3546	595.0	397.0	397.0	397.0	0.397	0.397	0.397	180.0	GigabitEthernet0/0	2392.0	4272.0	0.0	89584.0	180134.0	47.0	43.0	23.0
novattgorica	ptuj	2	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	2254	4954	826.0	623.0	623.0	623.0	0.623	0.623	0.623	181.0	GigabitEthernet0/0	2392.0	4272.0	0.0	94229.0	168241.0	47.0	43.0	23.0
novattgorica	ptuj	3	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
novattgorica	divaca	1	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	451	754	289.0	108.0	108.0	108.0	0.107	0.107	0.107	168.0	GigabitEthernet0/0	2392.0	4259.0	0.0	37874.0	67734.0	47.0	16.0	10.0
novattgorica	divaca	2	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	562	1001	319.0	121.0	121.0	121.0	0.121	0.121	0.121	180.0	GigabitEthernet0/0	2392.0	4259.0	0.0	43187.0	68578.0	47.0	16.0	10.0
novattgorica	divaca	3	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
novattgorica	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1461	3097	586.0	400.0	400.0	400.0	0.399	0.399	0.399	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	84174.0	149011.0	47.0	43.0	23.0
novattgorica	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2429	5040	946.0	760.0	760.0	760.0	0.759	0.759	0.759	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	69648.0	134782.0	47.0	43.0	23.0
novattgorica	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
novattgorica	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	503	1096	306.0	118.0	118.0	118.0	0.118	0.118	0.118	173.0	GigabitEthernet0/0	2392.0	4258.0	0.0	38886.0	68039.0	47.0	16.0	9.0
novattgorica	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	485	947	308.0	116.0	116.0	116.0	0.115	0.115	0.115	176.0	GigabitEthernet0/0	2392.0	4258.0	1.0	39124.0	67082.0	47.0	16.0	9.0
novattgorica	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kranj	koper	1	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	513	1057	314.0	119.0	119.0	119.0	0.118	0.118	0.118	177.0	GigabitEthernet0/0	2392.0	4258.0	0.0	41468.0	76572.0	47.0	16.0	9.0
kranj	koper	2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	586	1261	334.0	137.0	137.0	137.0	0.136	0.136	0.136	178.0	GigabitEthernet0/0	2392.0	4258.0	0.0	41989.0	81637.0	47.0	16.0	9.0
kranj	koper	3	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ptuj	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	529	1103	361.0	160.0	160.0	160.0	0.159	0.159	0.159	184.0	GigabitEthernet0/0	2392.0	4264.0	0.0	51071.0	110702.0	47.0	27.0	15.0
ptuj	maribor	2	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1055	2242	449.0	248.0	248.0	248.0	0.247	0.247	0.247	181.0	GigabitEthernet0/0	2392.0	4264.0	0.0	49265.0	129506.0	47.0	27.0	15.0
ptuj	maribor	3	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kranj	lasko	1	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	1499	3195	623.0	433.0	433.0	433.0	0.432	0.432	0.432	174.0	GigabitEthernet0/0	2392.0	4272.0	0.0	72017.0	156576.0	47.0	43.0	23.0
kranj	lasko	2	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	2334	4651	865.0	680.0	680.0	680.0	0.679	0.679	0.679	170.0	GigabitEthernet0/0	2392.0	4272.0	0.0	67281.0	150913.0	47.0	43.0	23.0
kranj	lasko	3	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
maribor	kranj	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	1431	3135	569.0	386.0	386.0	386.0	0.386	0.386	0.386	169.0	GigabitEthernet0/0	2392.0	4272.0	0.0	70601.0	131314.0	47.0	43.0	23.0
maribor	kranj	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	2073	4254	772.0	591.0	591.0	591.0	0.59	0.59	0.59	167.0	GigabitEthernet0/0	2392.0	4272.0	0.0	72271.0	149152.0	47.0	43.0	23.0
maribor	kranj	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ljubljana	kranj	1	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	401	728	308.0	108.0	108.0	108.0	0.108	0.108	0.108	181.0	GigabitEthernet0/0	2392.0	4258.0	0.0	38594.0	117356.0	47.0	16.0	9.0
ljubljana	kranj	2	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	708	1446	341.0	144.0	144.0	144.0	0.143	0.143	0.143	182.0	GigabitEthernet0/0	2392.0	4258.0	1.0	48407.0	70811.0	47.0	16.0	9.0
ljubljana	kranj	3	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GigabitEthernet0/0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
kranj	maribor	1	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	1025	3066	554.0	343.0	343.0	343.0	0.343	0.343	0.343	191.0	GigabitEthernet0/0	2392.0	4272.0	0.0	165037.0	244845.0	47.0	43.0	23.0
